length,word,path
3,cad,"((0, 2), (1, 2), (0, 1))"
3,cat,"((0, 2), (1, 2), (2, 2))"
3,cod,"((0, 2), (1, 1), (0, 1))"
3,cog,"((0, 2), (1, 1), (2, 0))"
3,cog,"((0, 2), (1, 1), (2, 1))"
3,coo,"((0, 2), (1, 1), (1, 0))"
3,cot,"((0, 2), (1, 1), (2, 2))"
3,doc,"((0, 1), (1, 1), (0, 2))"
3,dog,"((0, 1), (1, 0), (2, 0))"
3,goa,"((2, 0), (1, 1), (1, 2))"
3,god,"((2, 0), (1, 1), (0, 1))"
3,god,"((2, 0), (1, 0), (0, 1))"
3,gog,"((2, 1), (1, 1), (2, 0))"
3,gog,"((2, 0), (1, 0), (2, 1))"
3,gog,"((2, 1), (1, 0), (2, 0))"
3,gog,"((2, 0), (1, 1), (2, 1))"
3,goo,"((2, 0), (1, 1), (1, 0))"
3,goo,"((2, 0), (1, 0), (1, 1))"
3,got,"((2, 0), (1, 1), (2, 2))"
3,got,"((2, 1), (1, 1), (2, 2))"
3,hod,"((0, 0), (1, 0), (0, 1))"
3,hod,"((0, 0), (1, 1), (0, 1))"
3,hog,"((0, 0), (1, 0), (2, 0))"
3,hog,"((0, 0), (1, 1), (2, 0))"
3,hog,"((0, 0), (1, 0), (2, 1))"
3,hog,"((0, 0), (1, 1), (2, 1))"
3,hot,"((0, 0), (1, 1), (2, 2))"
3,oat,"((1, 1), (1, 2), (2, 2))"
3,oho,"((1, 0), (0, 0), (1, 1))"
3,oho,"((1, 1), (0, 0), (1, 0))"
3,tad,"((2, 2), (1, 2), (0, 1))"
3,tag,"((2, 2), (1, 2), (2, 1))"
3,tao,"((2, 2), (1, 2), (1, 1))"
3,tod,"((2, 2), (1, 1), (0, 1))"
3,tog,"((2, 2), (1, 1), (2, 1))"
3,tog,"((2, 2), (1, 1), (2, 0))"
3,too,"((2, 2), (1, 1), (1, 0))"
4,cato,"((0, 2), (1, 2), (2, 2), (1, 1))"
4,coat,"((0, 2), (1, 1), (1, 2), (2, 2))"
4,coda,"((0, 2), (1, 1), (0, 1), (1, 2))"
4,goat,"((2, 0), (1, 1), (1, 2), (2, 2))"
4,hood,"((0, 0), (1, 0), (1, 1), (0, 1))"
4,hood,"((0, 0), (1, 1), (1, 0), (0, 1))"
4,taco,"((2, 2), (1, 2), (0, 2), (1, 1))"
4,toga,"((2, 2), (1, 1), (2, 1), (1, 2))"
4,togo,"((2, 2), (1, 1), (2, 0), (1, 0))"
